yjiL	G7931
gstB	G6438
artQ	EG11626
yhhI	EG11525
yfgD	G7312
thrA	EG10998
yhfZ	G7735
pxpB	G6380
asd	EG10088
ygjJ	G7598
yiiM	EG11870
lysC	EG10550
yqeB	G7494
sodA	EG10953
metL	EG10590
ygcU	G7439
paoB	G6156
shiA	G7067
ypeC	G7252
nnr	EG11758
aroK	EG10081
yegR	G7122
katG	EG10511
aroD	EG10076
yoaI	G6974
yhhY	G7758
aroA	EG10073
ydhU	G6898
ycbX	G6487
aroL	EG10082
yncJ	G6747
ydbD	EG11310
aroE	EG10077
ycgM	G6617
gpr	G7558
aroB	EG10074
ybjS	G6453
pxpC	G6381
ydiB	EG11234
yahM	G6192
sodB	EG10954
aroF	EG10078
yaeP	G372
rcnB	G7139
aroC	EG10075
yriA	G0-17037
paoA	G6157
glnG	EG10385
ygiC	EG11165
hxpB	G6932
glnQ	EG10389
mgtT	G0-17021
yjjX	EG12600
glnH	EG10386
ynfS	G0-16744
gstA	G6878
glnA	EG10383
ylcJ	G0-16728
arsC	EG12237
glnD	EG11411
yobI	G0-10644
tpx	G6660
glnL	EG10387
ynfP	G0-10559
ahpC	EG11384
glnB	EG10384
ygbE	EG12707
mazG	EG10572
artI	EG11625
yibN	EG12295
sspB	EG10978
glnP	EG10388
lapC	EG12049
rspB	G6838
leuC	EG11576
rspA	G6839
leuA	EG11226
slp	EG11890
leuO	EG10531
ytfK	G7872
leuB	EG11577
ybdZ	G0-10437
leuL	EG11280
ftnA	EG10921
leuD	EG11575
ftnB	G7033
livK	EG10540
nfeF	G7593
ilvM	EG10501
bfr	EG10113
ivbL	EG11275
fhuF	G7949
ilvB	EG10494
yhfT	G7729
yqgB	G7521
livM	EG10541
ybjJ	G6443
yobF	G7000
ilvN	EG10502
gspJ	G7709
gadB	EG11490
ilvH	EG10499
yfcC	G7190
yagU	G6158
ilvC	EG10495
ybbY	G6282
yhiM	EG12228
lrp	EG10547
marB	EG11599
cadA	EG10131
livH	EG10538
gspG	G7706
alx	G7607
ilvY	EG10503
yegH	G7108
mgrB	G7002
ilvI	EG10500
ykgG	G6178
hdeD	EG11495
dcyD	G7038
yjjB	EG11215
hdeB	EG11399
ilvD	EG10496
gspD	G7703
adiA	EG11501
ilvL	EG11270
leuE	G6984
asr	G6855
ilvA	EG10493
gspM	EG12173
inaA	EG11422
livJ	EG10539
mrdB	EG10607
yceO	G6555
alaA	G7184
yjjP	G7946
gadA	EG50009
ilvE	EG10497
tqsA	G6859
osmB	EG10679
alaC	G7242
yijE	EG11902
kbp	G7395
alr	EG10001
yhgE	G7745
ecnA	G0-41
alaB	G0-9281
yggR	G7526
osmC	EG10680
avtA	EG10107
ybjL	G6445
yggT	G7528
hisG	EG10449
yddB	EG11743
osmY	EG11391
hisC	EG10446
gspK	G7710
ecnB	G0-9562
hisL	EG11269
emrK	G7233
hslR	G7743
hisH	EG10450
ydeA	EG11636
clpB	EG10157
hisD	EG10447
gspH	G7707
cspG	G6511
hisA	EG10444
arnF	G7171
ybeD	EG11592
hisI	EG10451
ybaT	G6262
yhbO	G7647
hisF	EG10448
rarD	EG11466
btuE	EG10129
hisB	EG10445
gspE	G7704
cutA	EG12177
tnaB	EG11006
mntP	G6999
yfcG	G7194
trpL	EG11274
yhhT	EG12220
msrP	G7059
trpD	EG11027
gspA	G7701
ibpB	EG11535
trpA	EG11024
ydhK	G6885
yhcN	G7683
aroH	EG10080
fliR	EG11977
yigL	EG11470
trpE	EG11028
ytfF	G7867
yggX	G7532
trpB	EG11025
yqgA	G7534
yaaA	EG10011
mtr	EG10617
lysO	G6458
ortT	G6756
trpR	EG11029
yeeA	EG11891
yjaA	EG11206
trpC	EG11026
gspL	G7711
msrQ	G7060
tyrP	EG11041
yfeO	G7251
ydeI	EG11644
tyrB	EG11040
gsiC	G6431
ygiN	EG12657
pheA	EG10707
atoE	EG11671
ychH	EG11533
aroG	EG10079
gspI	G7708
ygiW	G7574
pheL	EG11271
yfbS	G7186
ychF	EG11404
aroP	EG10084
fetB	G6267
yfcF	G7193
tyrA	EG11039
yidE	EG11536
maa	G58
cbl	G7071
gspF	G7705
bsmA	G7852
cysE	EG10187
yfeH	EG12376
yodD	G7046
cysK	EG10192
yedA	EG11141
ibpA	EG11534
cysM	EG10193
gspC	G7702
yqeJ	G7468
cysB	EG10184
yohK	EG12024
yoaF	G6979
sdaC	EG12142
yjiJ	G7929
yciU	G6633
serA	EG10944
yghQ	G7549
yaiS	G6216
sstT	EG12732
ycfT	G6572
yhfG	EG12374
serB	EG10945
yeeE	EG11895
yadE	EG11749
serC	EG10946
dauA	EG12392
yaaI	G8202
ltaE	G6455
corA	EG11463
yfeY	G7267
gltS	EG10406
rcnA	G7138
ves	G6938
gltB	EG10403
arnE	G0-10460
ymfA	G6579
gltI	G6359
feoA	EG12101
yaaX	G6081
gltJ	EG12661
bioP	EG11471
yjjI	EG12171
gltD	EG10404
tamA	G7874
yedF	EG11661
gltK	EG12662
ftsK	G6464
yjeN	G7838
gltP	EG10405
feoB	EG12102
yfcL	G7200
gdhA	EG10372
zupT	EG11167
ydhW	G6900
gltL	EG12663
tamB	G7875
ycbJ	G6473
qorA	EG11492
cirA	EG10155
yciN	EG12868
cybB	EG10172
wzxC	G7097
yehM	EG11999
fldB	EG12697
trkA	EG11019
yafD	EG11650
fre	EG10334
macA	G6461
yrbL	G7667
